Week,Median Forecast,Lower 80%,Upper 80%,Lower 95%,Upper 95%
2022-07-04,506.0162799974297,486.86072059111336,535.8272264032862,459.9870627520259,562.1483816684504
2022-07-11,514.8067339763778,496.31265088862654,544.2843133667848,472.45078571961477,570.605468631949
2022-07-18,502.9662653540877,484.06982461923354,531.2020711676216,460.08914075638324,554.77262222226
2022-07-25,482.21229659491866,462.72337017315283,511.85964776227024,439.8563483381556,538.0110312504899
2022-08-01,477.842994989108,459.38404477267284,507.0962664811054,432.5103869335854,534.5787772310671
2022-08-08,486.2433667543236,467.2281073256309,514.4791725678575,444.84871950281655,541.5209250689534
2022-08-15,500.9546938522459,480.8578222638117,530.0474276015908,454.0709332504512,556.2322521668757
2022-08-22,526.0571589147564,506.04705615204915,554.2929647282904,479.1733983129617,581.2417886104433
